197.958: [GC 1068867K->683297K(1476928K), 0.1299460 secs]
198.765: [GC 1090785K->761381K(1476928K), 0.5909450 secs]
200.344: [GC 1168869K->876893K(1476928K), 0.9493600 secs]
201.993: [GC 1284381K->883809K(1476928K), 0.3185100 secs]
203.055: [GC 1291297K->889083K(1476928K), 0.1673690 secs]
204.117: [GC 1296571K->894832K(1476928K), 0.1913280 secs]
205.032: [GC 1302320K->902785K(1476928K), 0.2472530 secs]
206.018: [GC 1310273K->892068K(1476928K), 0.1812170 secs]
207.025: [GC 1299556K->881021K(1476928K), 0.1114570 secs]
207.999: [GC 1288509K->886536K(1476928K), 0.1459510 secs]
208.843: [GC 1294024K->876066K(1476928K), 0.0856530 secs]
209.700: [GC 1283554K->883524K(1476928K), 0.1281980 secs]
210.609: [GC 1291012K->890915K(1476928K), 0.1769680 secs]
211.692: [GC 1298403K->879217K(1476928K), 0.1041250 secs]
212.532: [GC 1286705K->885339K(1476928K), 0.1401290 secs]
213.432: [GC 1292827K->873021K(1476928K), 0.0687170 secs]
