631.640: [GC 1020356K->617060K(1153408K), 0.0387270 secs]
633.016: [GC 1031524K->617060K(1153664K), 0.0384000 secs]
634.921: [GC 1031524K->617060K(1159168K), 0.0500450 secs]
639.621: [GC 1042276K->628324K(1159296K), 0.1939510 secs]
641.212: [GC 1053540K->632772K(1165504K), 0.2873150 secs]
642.944: [GC 1065220K->638972K(1150272K), 0.2498470 secs]
644.773: [GC 1071420K->645228K(1156544K), 0.2932830 secs]
646.577: [GC 1065644K->651188K(1150464K), 0.3065170 secs]
648.330: [GC 1071604K->658300K(1141632K), 0.3569750 secs]
650.047: [GC 1054268K->663948K(1138752K), 0.3664320 secs]
651.834: [GC 1059916K->669556K(1124992K), 0.4178790 secs]
653.572: [GC 1034548K->674780K(1118592K), 0.4420230 secs]
655.263: [GC 1039772K->681324K(1107264K), 0.5115220 secs]
656.940: [GC 1012396K->686012K(1086720K), 0.4919270 secs]
658.660: [GC 1017084K->690836K(1108864K), 0.4587410 secs]
660.188: [GC 1009492K->695476K(1058752K), 0.4224660 secs]
661.862: [GC 1014132K->699852K(1113920K), 0.3771140 secs]
663.407: [GC 1025036K->705620K(1051840K), 0.3232730 secs]
664.831: [GC 1030804K->710260K(1110784K), 0.2791260 secs]
665.110: [Full GC 710260K->520183K(1162368K), 13.2984060 secs]
679.724: [GC 852215K->524951K(1159424K), 0.1117090 secs]
680.948: [GC 856983K->529751K(1175488K), 0.1359570 secs]
682.230: [GC 877463K->534751K(1174208K), 0.1721110 secs]
683.664: [GC 882463K->539975K(1175936K), 0.1750990 secs]
685.011: [GC 891207K->546231K(1174592K), 0.1365060 secs]
686.338: [GC 897463K->551387K(1178752K), 0.1476270 secs]
688.022: [GC 909531K->557019K(1177472K), 0.2103710 secs]
689.470: [GC 915163K->557107K(1182784K), 0.1299780 secs]
691.863: [GC 922995K->557051K(1181120K), 0.0372080 secs]
693.094: [GC 922939K->557051K(1186688K), 0.0618730 secs]
694.861: [GC 931323K->557051K(1185216K), 0.0366840 secs]
696.115: [GC 931323K->557083K(1190592K), 0.0502680 secs]
697.528: [GC 940507K->557115K(1189248K), 0.0583620 secs]
698.875: [GC 940539K->557115K(1195584K), 0.0686950 secs]
700.320: [GC 951035K->557083K(1194240K), 0.0475010 secs]
701.770: [GC 951003K->557115K(1201152K), 0.0620250 secs]
703.323: [GC 961979K->557115K(1199744K), 0.0422830 secs]
704.901: [GC 961979K->557147K(1206656K), 0.0579280 secs]
706.613: [GC 972763K->557115K(1205184K), 0.0602620 secs]
708.139: [GC 972731K->557115K(1212096K), 0.0575180 secs]
710.225: [GC 983163K->557147K(1210560K), 0.0790960 secs]
712.188: [GC 983195K->557115K(1217344K), 0.0579100 secs]
713.939: [GC 993019K->557147K(1215808K), 0.0611660 secs]
715.670: [GC 993051K->557123K(1222208K), 0.0613660 secs]
724.873: [GC 1001987K->567355K(1220608K), 0.6301180 secs]
727.846: [GC 1012219K->574147K(1223616K), 0.2525720 secs]
729.824: [GC 1021955K->580531K(1218752K), 0.2459400 secs]
731.584: [GC 1028339K->586907K(1210624K), 0.3354000 secs]
733.345: [GC 1015131K->593155K(1211776K), 0.3199590 secs]
735.207: [GC 1021379K->599211K(1191936K), 0.3848780 secs]
737.079: [GC 998763K->604979K(1194880K), 0.3758200 secs]
738.918: [GC 1004531K->610691K(1175424K), 0.4240770 secs]
740.682: [GC 976835K->615891K(1172352K), 0.4402080 secs]
742.357: [GC 982035K->621059K(1159040K), 0.4964450 secs]
744.096: [GC 952387K->625835K(1137216K), 0.5066910 secs]
745.832: [GC 957163K->630531K(1162176K), 0.4588630 secs]
747.395: [GC 951491K->635051K(1110208K), 0.4137680 secs]
748.995: [GC 956011K->639619K(1165376K), 0.3960880 secs]
750.484: [GC 966531K->644355K(1159808K), 0.4093790 secs]
751.991: [GC 971267K->648971K(1164544K), 0.2764810 secs]
753.459: [GC 984587K->653955K(1161728K), 0.2554560 secs]
755.009: [GC 989571K->658891K(1174720K), 0.2254600 secs]
756.419: [GC 1009611K->663987K(1173120K), 0.2009820 secs]
757.998: [GC 1014707K->669235K(1179712K), 0.1753000 secs]
759.381: [GC 1027699K->674483K(1179008K), 0.1376520 secs]
760.816: [GC 1032947K->679923K(1181888K), 0.1455250 secs]
762.546: [GC 1044019K->683763K(1181632K), 0.1884050 secs]
764.026: [GC 1047859K->683811K(1185216K), 0.0745990 secs]
765.338: [GC 1054051K->683787K(1184576K), 0.0445430 secs]
766.611: [GC 1054027K->683787K(1187712K), 0.0663770 secs]
768.619: [GC 1060747K->683787K(1187328K), 0.0614590 secs]
769.913: [GC 1060747K->683787K(1191296K), 0.0448030 secs]
771.251: [GC 1069323K->683787K(1191040K), 0.0764160 secs]
773.528: [GC 1069323K->683819K(1195968K), 0.0721310 secs]
775.797: [GC 1079403K->683787K(1195776K), 0.0842570 secs]
777.525: [GC 1079371K->683819K(1201280K), 0.0687720 secs]
778.954: [GC 1090091K->683819K(1201088K), 0.0448880 secs]
780.574: [GC 1090091K->683819K(1206784K), 0.0709800 secs]
782.516: [GC 1100715K->683851K(1206528K), 0.0712660 secs]
784.474: [GC 1100747K->683851K(1212096K), 0.0801680 secs]
789.497: [GC 1110923K->693291K(1211712K), 0.2697130 secs]
791.393: [GC 1120363K->699627K(1216704K), 0.2821230 secs]
793.279: [GC 1133291K->705835K(1217536K), 0.2409110 secs]
795.131: [GC 1139499K->711963K(1208960K), 0.2694290 secs]
796.930: [GC 1134299K->718115K(1204160K), 0.3024630 secs]
798.717: [GC 1140451K->724211K(1194304K), 0.3756840 secs]
800.476: [GC 1121971K->729979K(1191424K), 0.3709650 secs]
802.316: [GC 1127739K->735691K(1177728K), 0.4022970 secs]
804.057: [GC 1102859K->741075K(1171904K), 0.4274060 secs]
805.821: [GC 1108243K->746267K(1160832K), 0.4546250 secs]
807.428: [GC 1080411K->750979K(1139264K), 0.5055630 secs]
809.200: [GC 1085123K->755771K(1163136K), 0.4682080 secs]
810.900: [GC 1079163K->760355K(1113024K), 0.4189180 secs]
812.479: [GC 1083747K->764979K(1167040K), 0.3559780 secs]
814.123: [GC 1094451K->769739K(1161600K), 0.3238100 secs]
